category,dest_zone,pack_type,handling,weather,customs,distance_km,weight_kg,volume_m3,profit_usd,risk_event
fashion,NA,box,hazmat,clear,low,6591.689433423488,3.3107675635189127,0.05615077668151471,27.74346439388965,0
cosmetics,AF,box,standard,storm,low,4980.833424668506,3.421526020765201,0.02292695614978211,39.46105887710647,0
electronics,NA,box,standard,clear,high,6498.968714564663,8.389830987782817,0.05367139699168738,80.82819552805172,1
electronics,APAC,polybag,standard,clear,medium,6877.505330332307,1.8677749515926143,0.04746428666969686,63.32044321724315,0
pharma,APAC,box,fragile,rain,medium,7413.279801436158,1.3072174044636173,0.010167627216012371,73.69767394604747,0
spare_parts,ME,box,fragile,clear,medium,4325.194189580755,12.294441661869719,0.04472600643622641,107.20470037882227,0
documents,APAC,box,fragile,clear,medium,7120.7668796065245,4.464815442601081,0.004329300258384186,28.27892930529673,0
fashion,APAC,polybag,standard,clear,low,7129.195772079624,6.028816423807813,0.010934915957998951,42.51756045611364,0
cosmetics,NA,box,standard,rain,medium,6489.705186169432,0.5767468380096479,0.049900137199243653,38.64310963139849,0
cosmetics,AF,polybag,standard,clear,high,5479.398789346938,2.5771269070989904,0.007337916920797127,27.166202553665695,1
fashion,AF,box,hazmat,clear,low,5408.0313829447605,2.8115895030912794,0.011684837970273695,28.569471245166312,0
electronics,AF,box,standard,clear,low,4434.483981712468,12.954216831403254,0.04706703756757032,148.36314537104795,0
cosmetics,APAC,box,standard,clear,medium,7076.893382327207,1.434918694320521,0.02898878360687826,44.49366858676766,0
fashion,ME,box,standard,clear,medium,4670.943922713912,9.736813709432653,0.01359022270816029,34.260514627701916,0
pharma,ME,box,fragile,storm,low,4392.858935392643,14.794711092852836,0.02264460186043665,108.32528796830098,1
cosmetics,NA,polybag,fragile,clear,medium,6042.285505420555,7.581366468324777,0.034550317880643756,74.54737542627109,1
spare_parts,ME,box,standard,clear,high,3820.469741572064,5.181551866472446,0.021234385748438632,47.52267222683796,0
spare_parts,APAC,crate,standard,clear,low,6442.222223433105,13.703930311781974,0.09914261295935854,56.60397277560927,0
fashion,APAC,box,standard,clear,low,6943.8157564334215,18.773555426620206,0.06269956141902025,70.28319293889801,0
spare_parts,EU,box,standard,clear,medium,3367.699235096749,6.387989511747424,0.010389490790421336,53.67228469158002,0
spare_parts,ME,box,hazmat,clear,medium,3276.7585008782935,2.7349734907880654,0.05382174248387508,66.8611132402594,0
cosmetics,APAC,polybag,standard,rain,low,6610.202634420435,1.2447037790880802,0.028399032607368764,42.51096147619507,0
fashion,EU,box,hazmat,clear,medium,2991.2084109991074,1.1024918170957378,0.001,27.633414954133666,0
pharma,AF,box,standard,clear,medium,5289.563609967945,8.72164958232312,0.058737307118285904,106.57265178519508,0
electronics,APAC,box,fragile,clear,medium,6413.367650777722,12.422687700589684,0.04832030286269672,112.61153807387934,0
fashion,NA,box,standard,clear,medium,6480.112093787057,4.882288477834869,0.010563283157036734,47.2358237374047,0
electronics,NA,box,fragile,clear,low,6549.786638234895,2.563247868179135,0.027648563044410168,56.276564760086394,0
spare_parts,APAC,polybag,standard,clear,low,6749.900910490454,3.144236880648213,0.018045798127333694,54.7292972564464,0
pharma,EU,box,fragile,rain,high,3128.2944624091538,1.6951524754903469,0.027250083683711186,90.73072777529416,1
spare_parts,APAC,polybag,fragile,clear,medium,6726.153666983817,3.5094131359319123,0.021390222558518055,51.12308181905861,0
spare_parts,NA,box,standard,clear,medium,6611.369055889042,7.213038508754831,0.052155022200777876,71.14109104024071,0
cosmetics,NA,polybag,fragile,clear,medium,6161.870183435012,0.44021462180373727,0.021778031859502552,37.88101089483725,0
food,EU,crate,standard,clear,low,2975.8975494206957,2.4528804014845695,0.07129107120612654,31.4001824451561,0
electronics,APAC,polybag,standard,rain,high,6574.359804327878,5.090272796143587,0.03257958869294624,57.96427639094081,1
electronics,AF,crate,standard,clear,medium,5234.7473302783155,3.5052318977269996,0.020087728437075958,70.23641993250568,1
pharma,AF,polybag,standard,clear,low,5194.682616079276,7.865863872739348,0.02799787456503078,111.42767677737713,1
cosmetics,ME,box,fragile,storm,low,3954.5713897162204,5.871309897167048,0.020663052480972034,46.26347579641131,1
food,APAC,box,fragile,clear,low,6636.180070124638,4.06321980613732,0.013009040356993315,30.698967191619957,0
spare_parts,NA,box,standard,clear,low,6375.615185518897,2.496462477630045,0.01706419743079323,43.93151608094425,1
pharma,ME,box,standard,rain,medium,4059.8399727803635,3.9357089689470772,0.03240487929141018,84.82343544595336,0
food,AF,box,standard,clear,low,4309.928524488853,8.19435006812353,0.02842477530526036,33.83963483101527,1
food,EU,box,standard,clear,medium,3570.4166885473605,4.187930322619272,0.03510371963413999,46.693003646743506,0
fashion,AF,polybag,fragile,clear,medium,5074.711392638265,6.6541176329169724,0.02637977839410882,62.54699659977657,0
electronics,EU,box,standard,clear,low,3248.653939114629,13.95396819670798,0.020328914772545243,70.23647982403695,0
cosmetics,NA,box,standard,clear,low,5721.986178759971,2.6983897773527032,0.013153462303518923,43.289920534740745,0
fashion,ME,box,standard,rain,low,4272.500404875856,2.7068895486688254,0.021057396280787448,42.79458805593568,0
cosmetics,AF,crate,standard,clear,medium,5107.624551333916,3.950021602431247,0.03543093948700539,52.01697565344129,0
spare_parts,EU,box,standard,storm,medium,2275.568280943131,8.504592942155243,0.013379136849151372,42.668201538156616,0
fashion,APAC,box,standard,clear,medium,7494.279589870709,5.4912172167066595,0.016979096486510272,39.42879008906806,0
electronics,NA,box,standard,clear,low,7103.5316534572175,7.706937182204497,0.03222356867158785,72.52384509325589,0
fashion,APAC,crate,fragile,clear,high,6979.362679343092,7.642015615990453,0.031852126319031955,46.30632072869762,0
fashion,ME,box,standard,clear,medium,4572.844019296267,3.589835238095806,0.013110316520267633,27.17687489053198,0
pharma,NA,box,fragile,clear,medium,6690.324219075645,3.151132818624727,0.03666157103604765,107.0159396325842,0
food,APAC,box,standard,clear,medium,6619.259857626157,4.968652510558041,0.03265470170703796,43.20064158091144,0
spare_parts,APAC,box,standard,clear,low,6007.36560908319,13.419313141712315,0.08660854123650241,74.07859457841016,0
pharma,ME,polybag,standard,clear,medium,3719.676060006641,5.467616444217505,0.01251580949318914,73.7167247418443,0
cosmetics,EU,box,standard,clear,medium,2750.075557371073,17.146070416912565,0.07650755941559705,111.05581578599197,0
spare_parts,NA,polybag,fragile,clear,low,7426.3437272620295,21.437852188045078,0.032185981099825345,111.82586798962329,0
electronics,AF,box,fragile,clear,low,4788.5137562369455,2.8132452975870894,0.006743264022778338,77.55995678527573,0
electronics,APAC,crate,standard,clear,medium,6647.6301205898,1.832761234177414,0.022029143819503147,66.84012503128433,0
electronics,APAC,box,standard,clear,medium,6827.242434961889,3.412935862332074,0.0213695925343708,44.426308879659516,0
spare_parts,APAC,crate,standard,storm,high,7013.639247134986,5.194992699915627,0.053072095416643865,48.064130153115286,1
cosmetics,APAC,box,standard,clear,medium,6703.373962900565,4.536831670780465,0.017041668166047845,31.834357141724396,0
electronics,NA,box,standard,clear,high,6310.793430530598,4.716549056878518,0.009367968889020133,75.1105492142651,0
food,ME,box,standard,clear,low,5315.228493110502,5.363268633290449,0.0358685801486455,57.952492284367096,0
electronics,APAC,polybag,standard,clear,medium,6573.045617347329,3.239864594669945,0.03111533400740563,67.28466297150037,0
pharma,NA,polybag,standard,clear,low,7580.5238120942,10.442519847221494,0.04373603103747466,111.3819710255655,1
cosmetics,NA,box,standard,storm,high,6316.980474391845,9.026834647858275,0.06280292209330963,66.99047272614219,1
cosmetics,APAC,box,standard,clear,medium,6835.315279320326,2.3250361198375784,0.05885650268909681,40.12796195064583,0
fashion,APAC,box,standard,rain,medium,7157.31779676108,3.241608865505868,0.10081080068575078,39.96193423336797,0
pharma,APAC,box,fragile,rain,low,6632.90284425993,2.100200350267961,0.0759283092440489,80.33444254014915,0
cosmetics,NA,polybag,standard,rain,medium,5896.715717512134,3.4092424189205275,0.04072229744437377,49.709618493621036,0
electronics,AF,box,standard,clear,medium,5320.3385398621695,7.444811444222536,0.02838072504814656,72.1619717347845,0
electronics,NA,box,standard,clear,low,5929.431553487501,5.158677895640811,0.03083604929651126,56.1083415538792,1
documents,EU,box,standard,rain,medium,1934.1628293887345,12.965681647192131,0.05087244192181985,48.01102282007078,0
documents,AF,box,standard,rain,medium,5392.463020024983,6.552315686851876,0.01824408214253202,13.782065392595777,0
pharma,APAC,crate,standard,clear,medium,6305.215745931832,2.2052250033170813,0.022072452960670313,49.12875846895094,0
fashion,AF,box,standard,clear,medium,5595.9126079620055,3.2409382652335736,0.041426719073450344,39.08001302555991,1
documents,APAC,crate,fragile,clear,medium,6908.41454130899,6.829963319952302,0.009120889175524054,33.30502175627207,0
spare_parts,APAC,polybag,fragile,clear,low,7122.14651310677,5.635549641816209,0.017617140470615127,62.209378010343585,0
spare_parts,EU,box,standard,clear,medium,3597.2094116463495,6.512307688275775,0.013735323537363543,53.823644513287604,0
cosmetics,EU,box,standard,clear,high,3320.9773787345353,1.4691879419217733,0.06388279585382226,45.94001979564637,0
fashion,AF,polybag,fragile,rain,low,5679.158123345009,3.934198540552809,0.010906916083647727,31.562955689193423,0
electronics,APAC,polybag,standard,clear,high,6508.397843270838,0.24560195157430326,0.02037705746906523,59.12342432229051,0
documents,EU,box,hazmat,clear,high,3498.5823980928044,2.5313343765154595,0.016963361689599596,19.633787204692563,0
cosmetics,EU,crate,standard,rain,low,3241.920115943362,6.40999262145602,0.022357749444552103,35.48690339924891,0
fashion,EU,box,hazmat,clear,low,3217.889319166643,2.2577996813498142,0.03860858071677778,42.25177917268597,0
fashion,EU,box,standard,clear,medium,3461.6884870261956,3.1076228025487334,0.035556091109887174,51.96704767687878,0
food,APAC,box,standard,rain,high,7282.879449178522,2.007179048296675,0.031942894380839894,29.630356387559218,0
electronics,NA,polybag,standard,clear,low,6640.479732229647,5.051578308960059,0.04084445853894762,90.11327112196211,0
spare_parts,EU,box,standard,storm,high,2168.255119517247,2.7877978480482075,0.034898419681672656,28.461641066238126,0
spare_parts,AF,box,standard,clear,low,5819.2443789264225,2.913664991737608,0.0023007414338053543,33.78354097513425,1
spare_parts,ME,box,standard,clear,medium,3975.938952892754,6.04005100925234,0.04220948389113514,49.38010499426544,0
cosmetics,ME,box,standard,clear,high,4352.465129235672,5.466176591688799,0.031693594460101074,45.17252488895723,0
pharma,EU,box,hazmat,clear,low,3304.510157945716,4.91500532559505,0.0665174722115362,99.7859504689266,0
food,NA,polybag,hazmat,clear,medium,5552.841519245695,5.650082706592954,0.012792503628770475,28.227292588151677,0
pharma,EU,box,fragile,clear,low,2848.382951055157,11.123469331889606,0.02799571142241917,89.34691214933221,0
electronics,NA,crate,hazmat,rain,medium,6578.862317526696,5.942028122949218,0.03495882910622798,90.08392603619046,0
cosmetics,NA,polybag,fragile,clear,high,7854.273550380518,3.06089392387263,0.07788258571001148,35.49173405436835,1
electronics,NA,polybag,fragile,clear,low,6909.501164499016,6.508025752085842,0.009379831587591782,97.99772599776158,0
food,EU,crate,standard,rain,medium,2591.4147677580754,1.326271448653109,0.03091448252872606,25.635421765330136,0
fashion,NA,box,standard,clear,high,7039.997527938647,2.285728058847744,0.03206793174620528,45.21683626510609,0
electronics,AF,box,fragile,rain,medium,5863.700832022982,1.349262496140405,0.013435669753922184,64.80894838615357,0
electronics,NA,box,standard,clear,high,6392.3178427569055,9.187346084431983,0.02241909648300255,88.67479082419851,0
food,EU,box,standard,clear,high,3028.5723278793425,5.060266130968399,0.02278226085987175,40.40127273545707,0
electronics,APAC,box,standard,clear,low,7034.894383955335,5.62937054174969,0.015238074856255744,73.86703544918892,1
documents,NA,polybag,standard,rain,medium,6737.58629628363,1.1168871385050565,0.03251766304473988,25.510474160602012,1
food,ME,polybag,standard,rain,medium,4187.456306089788,12.484715813355852,0.035115964201324144,28.0415435347259,1
fashion,APAC,box,fragile,rain,medium,6316.936358413365,10.566489392740028,0.032453865673418174,51.43958006855219,0
food,ME,polybag,standard,clear,medium,3456.6880853452803,3.6064330120812444,0.008248888453753364,35.80214431224787,1
electronics,NA,box,standard,clear,low,6069.292643855102,5.85226609787734,0.017727010130370986,93.1972555294181,0
documents,APAC,box,standard,clear,medium,6554.396151708931,3.591177150454242,0.08352698428000953,22.80383158520424,0
food,APAC,box,standard,clear,medium,6738.459565152055,12.944153046523635,0.01673188121455752,28.763195356986074,1
spare_parts,EU,box,standard,clear,medium,3320.539560899951,4.226988385735062,0.009201177903557458,22.682805109420325,0
electronics,NA,box,standard,clear,medium,6111.929938379203,4.758847447082074,0.022480759532440015,70.44662692722873,0
food,NA,box,standard,rain,low,6097.110681729188,10.495958209158376,0.0036514737459699327,33.94473190621086,0
food,APAC,box,hazmat,clear,medium,7019.869849805727,1.6598246568080475,0.11460468583270471,34.52785662117,0
documents,EU,box,standard,clear,medium,2645.8048454573723,1.4557399774441666,0.0076479037877517165,14.00959093624681,0
food,NA,polybag,hazmat,clear,high,6201.979750281502,1.16863731752841,0.01370590900453287,27.012965019156297,0
cosmetics,ME,box,fragile,clear,medium,4139.995393033279,10.379002536427903,0.015829479926299937,83.55287603502725,1
fashion,AF,polybag,fragile,clear,high,5097.138744613144,1.6812570744123385,0.034862127759010035,44.468549794410606,1
fashion,NA,box,fragile,clear,medium,5985.97562700383,4.788620418191924,0.0063528984600474845,39.60962225891719,0
food,NA,box,standard,rain,high,6817.024732539009,10.381559355275282,0.13774899047219344,57.30609733834812,1
cosmetics,EU,box,standard,clear,low,3503.585871490159,1.8955461929919761,0.027215948937963086,29.535938377061072,0
electronics,APAC,crate,standard,clear,medium,6599.630171876545,9.87997301735125,0.005216040219952856,98.0142245686815,1
spare_parts,ME,box,standard,clear,low,5186.650641756334,2.9311832693992517,0.0848425357681011,52.09104519771678,0
documents,AF,box,standard,rain,medium,4872.151397143273,2.8073451055310126,0.03464588205850452,29.92642848312401,0
electronics,NA,polybag,standard,clear,high,6505.225954686093,3.6657204470774385,0.02160350461215983,66.5136280548264,0
food,EU,polybag,fragile,clear,medium,2415.175478097494,3.5889553328115023,0.005170686291057754,35.29458717964916,0
electronics,EU,polybag,standard,clear,medium,2784.549970164262,1.707426087147463,0.028789026653923636,35.61382397739065,0
pharma,EU,polybag,standard,rain,medium,3825.6057039739258,9.011432893088283,0.021111406324551083,88.44212403553283,0
fashion,ME,box,standard,clear,low,4356.579928565285,3.152052513274535,0.007435956205008878,51.47335442703927,0
pharma,APAC,polybag,standard,clear,high,6822.554209273415,11.835479411551985,0.030082784183082308,75.78371802033051,1
spare_parts,EU,box,standard,clear,low,2624.5014847835264,0.2,0.019906392242193472,39.10173943121818,0
spare_parts,APAC,polybag,fragile,rain,low,6170.588515374358,1.3809688797165895,0.019300941846296212,42.91815332328677,1
electronics,NA,box,standard,storm,low,7056.7506163103735,1.3924285991961614,0.055380577559699815,62.68889624903627,1
documents,ME,box,fragile,storm,high,4378.880467680514,5.273660961698313,0.06545509546973535,30.535392723755773,0
fashion,EU,box,standard,clear,medium,2630.005572976879,12.183860585056234,0.04636624466655629,53.46999826210969,0
electronics,ME,polybag,standard,clear,medium,3794.0179205102513,5.426675128619783,0.04116413430995243,89.15895547722666,0
food,NA,box,standard,clear,medium,6746.412438881655,9.500013694470079,0.04531871231665221,42.95144262770737,1
cosmetics,AF,polybag,standard,clear,low,5654.335504036595,3.489565995771839,0.013552798453462536,45.31010621233903,1
spare_parts,AF,box,standard,clear,low,4548.426340506256,2.2475279287718486,0.022330349663658905,31.03235851298626,0
spare_parts,APAC,box,standard,clear,low,6777.536695066993,6.337806771909731,0.044484065372689084,52.8325411849469,0
fashion,AF,box,standard,storm,medium,5306.736062042926,6.754094233274204,0.039611887514552975,30.56164441272689,0
documents,NA,box,standard,clear,low,6548.64157433972,2.698556669793735,0.012830914714623092,23.010337549115835,0
fashion,ME,polybag,standard,clear,medium,4141.162717467067,6.062424160149254,0.03154406957252098,47.75770218963614,0
food,EU,crate,fragile,clear,medium,2345.001195207904,11.22562026498842,0.011587739822068248,45.89625347017401,0
fashion,AF,polybag,standard,clear,medium,5231.337099323554,6.669022622753527,0.014181069937862287,47.23425284949542,0
documents,NA,box,standard,clear,high,6853.343463399019,0.8191121438433462,0.045725244090827386,14.677616592703389,0
electronics,NA,box,standard,clear,low,5862.69484235556,6.041576100844669,0.035294961269320614,97.41643748670148,1
electronics,APAC,crate,standard,clear,medium,6874.238607439953,0.2,0.03390920601183786,62.49530105501566,0
cosmetics,NA,polybag,fragile,rain,low,6690.126107728202,2.353262823673904,0.023704501018002654,29.629996942922528,0
documents,APAC,polybag,standard,clear,high,6298.926455205367,7.009843070200644,0.0343738352167615,20.97838855144531,1
documents,EU,box,standard,rain,high,2721.8633632658775,3.0735667279339953,0.026031091043567812,20.185826813117107,0
spare_parts,APAC,polybag,standard,rain,low,6412.113745691404,4.646133945278342,0.016520731458974338,58.29910863548298,0
documents,APAC,box,standard,clear,low,6817.281759740994,4.7464215129335345,0.04509666605911452,26.83862840450216,0
documents,APAC,polybag,standard,clear,low,6303.532467436095,2.4314864622160464,0.004421005263926725,15.821771161424724,0
food,NA,polybag,standard,storm,low,5737.743966959768,1.62869010268997,0.021292302433047094,27.7008205479463,1
fashion,NA,crate,hazmat,clear,low,6695.726140513914,10.808711550463837,0.06478580234675814,63.98694760270037,0
spare_parts,NA,box,standard,clear,low,6973.990690821492,6.373419325217056,0.02001838552512253,55.68413917662947,0
pharma,NA,polybag,standard,clear,low,6362.171366989278,3.7285283202963546,0.01753877742188982,77.68098934549364,0
cosmetics,ME,box,standard,rain,low,3318.0347920646723,1.0742742594790105,0.0055260725655153714,41.01305479952661,0
electronics,EU,box,standard,clear,medium,2471.1972466579778,12.367520664988175,0.01914490340656929,84.56234667806,0
spare_parts,EU,polybag,standard,clear,low,2769.33341621556,5.064656211891002,0.04983267587649192,72.94468123272999,0
fashion,NA,box,hazmat,clear,medium,6581.156413826874,0.4648470592742996,0.07368978223425247,33.32963334337081,0
documents,AF,box,fragile,clear,high,4847.403831614605,4.719397299483333,0.03533534584979326,24.944598164927704,0
fashion,NA,polybag,standard,clear,medium,6600.77984743588,5.647690992454419,0.017164451202239438,29.313627567213366,0
electronics,EU,polybag,fragile,clear,low,2603.9137532496684,8.18276920141226,0.06391183660046079,105.50152821169166,0
spare_parts,ME,box,fragile,clear,high,4721.327627440133,4.296641406317618,0.062698673196294,86.13487260469107,1
electronics,NA,box,standard,clear,low,5809.724124012136,15.720289765137682,0.03756390544171585,88.99571152952296,0
electronics,AF,polybag,fragile,clear,low,5093.538723053669,4.989686296219054,0.010675878553848031,54.09990516632055,0
food,NA,box,standard,clear,medium,6231.504896922212,17.084292814680083,0.018701510469513686,87.38015633357155,0
spare_parts,APAC,box,fragile,clear,low,6872.305243816339,7.076416038009681,0.02162187680309735,73.96341121004058,0
fashion,APAC,box,standard,clear,medium,6187.433767740543,2.3540784654067286,0.013769573303101437,29.44500449333578,0
fashion,APAC,polybag,standard,clear,medium,6850.623428073577,11.542981198270432,0.04035043410111433,82.08576232827693,0
spare_parts,APAC,box,fragile,clear,medium,6548.980452475294,5.605271306814752,0.025683928611018814,53.997962104024126,1
documents,APAC,box,standard,clear,high,6886.539679027659,11.640769699076108,0.019685020839849934,35.54782906491817,0
food,EU,crate,hazmat,clear,low,2736.828646385285,3.182312898369673,0.02536549632307706,37.46928697958386,0
electronics,ME,polybag,standard,clear,low,4699.497671865965,4.669815034239451,0.009144173859649319,79.39874700320033,0
electronics,APAC,box,standard,rain,medium,6786.5006590728135,8.998827151639903,0.023063127892806675,95.81250302590318,1
fashion,ME,polybag,fragile,clear,medium,4038.7385499974657,9.794587776444535,0.065197633357094,84.70867746365961,0
electronics,ME,crate,standard,rain,medium,4057.5307164876695,6.656078447983042,0.02755653462186073,102.67881817498419,0
pharma,NA,box,standard,clear,medium,6370.866440997069,7.563531290593314,0.015956192385800917,128.55355064322214,1
electronics,EU,box,standard,clear,low,3277.5307797232986,9.613546342503401,0.01695833595900639,75.21300837933293,0
food,EU,box,fragile,clear,high,3020.945834193474,5.1032535316650725,0.01076002769921448,40.77202586927962,1
pharma,NA,crate,standard,clear,low,6371.233895285933,5.650788959449615,0.035225169690130495,122.9472726666585,0
food,EU,polybag,standard,rain,high,3326.291443076454,16.803307422974463,0.019140112965470593,58.46100492740413,0
fashion,NA,box,standard,clear,low,7437.581197425527,3.264254341255122,0.06973515637151773,37.46539176642312,0
spare_parts,ME,crate,standard,storm,medium,3894.223865135776,1.3371990423884415,0.08858344537464248,62.419206620255565,0
spare_parts,APAC,polybag,fragile,clear,medium,6904.107368776719,5.681840412092194,0.001479164848195044,63.91830184263029,0
spare_parts,ME,box,standard,clear,medium,3836.0697924585716,5.570740931493275,0.03818124389767783,61.356081676025106,1
electronics,APAC,crate,standard,storm,medium,7029.354521863603,1.7847384155886177,0.02276707095801415,61.41869059701748,1
electronics,NA,polybag,standard,clear,medium,7082.07363225461,5.302949904216891,0.020196913252784658,42.030723805074075,1
documents,NA,polybag,standard,rain,medium,5875.899018389642,1.3472189834536252,0.051277630134766265,19.860414188257153,0
cosmetics,APAC,crate,standard,clear,high,6947.596264477804,3.0507330720829584,0.045007407295658095,33.703335326850045,1
fashion,APAC,box,standard,clear,low,6047.402418975503,7.022841626949299,0.08457078377274736,71.26108287842233,0
food,APAC,polybag,fragile,clear,medium,6535.6348679051325,1.4274000111363017,0.02347263095147347,29.548803331592786,0
pharma,APAC,box,hazmat,rain,medium,6756.87649982674,4.216770739370546,0.09865279199306891,93.34895214404759,0
documents,APAC,polybag,standard,clear,low,7072.399824957624,0.5930774829610397,0.02384385441280873,24.149403140116817,0
fashion,APAC,polybag,fragile,clear,low,6314.316569523414,3.314871602501043,0.03892471666299771,52.7595943759614,0
documents,APAC,polybag,standard,storm,low,6247.601891166778,11.517479045587928,0.011711736862112318,36.707247878012964,0
electronics,APAC,polybag,standard,clear,low,6462.40811670651,21.954055400726432,0.013497226647569974,110.49294672567467,0
food,NA,polybag,standard,storm,medium,6575.182758750622,4.58978156257963,0.01721137556426257,32.68009213482546,0
pharma,NA,box,standard,clear,medium,5831.936858149105,6.800371151277286,0.02500844709386656,98.93429040193145,1
electronics,EU,box,standard,rain,low,4079.413594408512,1.8660613997750133,0.012536779486519442,61.20696329777761,0
electronics,ME,box,fragile,clear,medium,3879.6188267234847,6.515386981014494,0.062063329032794386,67.54396354468803,0
cosmetics,APAC,polybag,standard,rain,low,6399.691558365905,12.9045196698352,0.045958809768375804,36.33515428719242,0
documents,EU,box,standard,rain,high,2398.5610085595185,5.3132108958866935,0.017658232456200677,16.397054014829052,0
food,EU,box,standard,clear,medium,3224.737802442728,10.545576645979008,0.0078076641079234226,36.10722773203531,0
documents,APAC,box,hazmat,rain,low,6553.297366882344,3.0511461903824335,0.10514266021225958,25.179368249448405,0
spare_parts,EU,box,standard,storm,low,3248.5523208847826,0.9163743375519624,0.07255909963641043,45.15348991554151,0
cosmetics,APAC,box,hazmat,rain,high,6951.797457824741,3.893544562255247,0.012773232600282677,25.766728979133454,0
spare_parts,NA,crate,hazmat,storm,medium,7350.073067754617,2.967561259414661,0.020629267408093708,48.190686362155205,1
electronics,EU,polybag,standard,rain,medium,2462.497879911507,10.065118381029821,0.03878619117837361,129.810296396811,1
electronics,EU,box,standard,clear,medium,2970.221948337838,10.180878050574039,0.0324435629135648,101.08824413505388,0
spare_parts,EU,polybag,standard,rain,medium,2883.553089956491,1.7434689807619557,0.016774266963542003,67.85498145040522,0
spare_parts,NA,box,standard,clear,high,5569.937033323097,7.278163271450532,0.044127517263397434,68.26234985754468,0
fashion,EU,box,standard,clear,high,3198.1267357840197,8.81533690386743,0.04094798310406808,52.453946803576656,0
food,EU,box,fragile,clear,low,2861.2567063926995,3.432379011712992,0.035478705506080746,38.35296041437938,1
pharma,EU,polybag,hazmat,clear,medium,3325.2315458614066,5.674707508945,0.0545914152434522,130.4208853226206,1
spare_parts,APAC,box,standard,rain,high,6869.922902328483,8.089781425862878,0.017419340312562776,91.62905752369394,0
pharma,NA,box,standard,rain,low,6463.813707131577,10.886085806695105,0.03667905527735457,134.65920856837462,0
cosmetics,EU,box,standard,rain,high,3589.8296827578547,5.7820497705468235,0.012297321156170897,50.63944429690122,0
cosmetics,NA,box,standard,clear,medium,6165.205624052361,6.946169501538968,0.03513919488163458,41.2838802926383,1
cosmetics,AF,box,standard,clear,low,5562.698611528928,8.739136613562248,0.0460324833021955,39.72489512098579,0
pharma,APAC,box,fragile,clear,high,6952.299353286768,1.7465171530937222,0.0027394210683929967,58.89100308346613,0
spare_parts,AF,crate,standard,clear,medium,5925.585998296621,0.42589288879487486,0.052905636205394145,61.04057442739291,0
cosmetics,AF,box,standard,rain,low,5090.062188634736,7.9170875465520325,0.11255649295783278,86.652712201934,0
fashion,EU,box,standard,rain,medium,4009.374722078932,5.906729709949133,0.10338766999674585,32.23644605202086,0
